contig_accession	length	coverage	cov/mean_cov(exp number of placements)	lib_mean	placable
AXCO01019868	4589	18470.5	466.0	132.0	No
KI431330	13605	18394.0	464.0	132.0	No
AXCO01027838	1420	17893.9	452.0	132.0	No
AXCO01021007	4054	17377.5	439.0	132.0	No
AXCO01023160	3139	17323.5	437.0	132.0	No
KI430404	17993	17117.1	432.0	132.0	No
AXCO01007221	17329	16769.3	423.0	132.0	No
AXCO01026427	1870	16442.0	415.0	132.0	No
AXCO01019615	4714	16405.0	414.0	132.0	No
AXCO01027477	1535	15902.7	401.0	132.0	No
AXCO01019505	4782	15799.7	399.0	132.0	No
AXCO01027991	2365	15704.2	396.0	132.0	No
KI430548	13488	15635.5	395.0	132.0	No
KI431612	9666	15361.7	388.0	132.0	No
AXCO01025080	2382	15183.0	383.0	132.0	No
KI429075	23602	15087.7	381.0	132.0	No
KI429670	22541	14797.2	373.0	132.0	No
AXCO01028944	1042	14390.1	363.0	132.0	No
AXCO01025664	2147	13806.4	348.0	132.0	No
KI429605	28093	13608.8	343.0	132.0	No
KI430489	12689	13574.2	343.0	132.0	No
KI430533	24801	13370.7	337.0	132.0	No
AXCO01021696	3752	13170.2	332.0	132.0	No
KI430319	16056	12943.4	327.0	132.0	No
AXCO01028686	1228	12873.4	325.0	132.0	No
AXCO01029273	1063	12747.0	322.0	132.0	No
KI432517	6905	12497.1	315.0	132.0	No
AXCO01027443	1580	12416.4	313.0	132.0	No
AXCO01029182	1094	11962.4	302.0	132.0	No
KI429442	24702	11809.5	298.0	132.0	No
KI430198	12925	11714.8	296.0	132.0	No
AXCO01028323	1233	11358.1	287.0	132.0	No
AXCO01028814	1077	11254.0	284.0	132.0	No
AXCO01019068	4973	11244.0	284.0	132.0	No
AXCO01011353	10318	11165.6	282.0	132.0	No
KI429932	23309	10735.0	271.0	132.0	No
AXCO01023157	3144	10712.1	270.0	132.0	No
AXCO01002219	30946	10667.5	269.0	132.0	No
KI427977	61200	10654.9	269.0	132.0	No
KI428065	37091	10630.6	268.0	132.0	No
AXCO01022572	3402	10419.0	263.0	132.0	No
AXCO01019652	4700	10186.2	257.0	132.0	No
