contig_accession	length	coverage	cov/mean_cov(exp number of placements)	lib_mean	placable
scaffold_10568	840	351733.2	11719.0	172.0	No
scaffold_20425	553	347286.9	11570.0	172.0	No
scaffold_23311	503	345400.8	11508.0	172.0	No
scaffold_14925	682	339287.6	11304.0	172.0	No
scaffold_22961	509	330346.0	11006.0	172.0	No
scaffold_16693	634	309570.1	10314.0	172.0	No
scaffold_23238	504	308974.0	10294.0	172.0	No
scaffold_14414	697	304331.5	10139.0	172.0	No
scaffold_11716	794	298828.3	9956.0	172.0	No
scaffold_14966	681	295766.2	9854.0	172.0	No
scaffold_19602	570	289071.7	9631.0	172.0	No
scaffold_22099	523	285218.4	9503.0	172.0	No
scaffold_17165	622	263984.4	8795.0	172.0	No
scaffold_18413	595	245092.2	8166.0	172.0	No
scaffold_22506	516	229850.1	7658.0	172.0	No
scaffold_17117	623	211808.5	7057.0	172.0	No
scaffold_11164	814	211044.6	7031.0	172.0	No
scaffold_20865	545	206554.5	6882.0	172.0	No
scaffold_21180	540	206115.7	6867.0	172.0	No
scaffold_21468	535	203703.1	6787.0	172.0	No
scaffold_19786	566	201979.2	6729.0	172.0	No
scaffold_23464	499	188149.3	6269.0	172.0	No
scaffold_20528	551	184960.5	6162.0	172.0	No
scaffold_21637	531	179581.8	5983.0	172.0	No
scaffold_17771	607	178833.7	5958.0	172.0	No
scaffold_23139	506	176804.6	5891.0	172.0	No
scaffold_22344	519	173259.1	5772.0	172.0	No
scaffold_23033	508	169567.5	5649.0	172.0	No
scaffold_22736	512	167091.9	5567.0	172.0	No
scaffold_18700	588	165001.7	5497.0	172.0	No
scaffold_21916	526	156747.7	5222.0	172.0	No
scaffold_18910	584	156130.1	5202.0	172.0	No
scaffold_18327	597	154350.8	5142.0	172.0	No
scaffold_22908	510	150924.1	5028.0	172.0	No
scaffold_22513	516	147374.0	4910.0	172.0	No
scaffold_12508	763	147075.6	4900.0	172.0	No
scaffold_00788	4062	146231.1	4872.0	172.0	No
scaffold_21881	527	131626.4	4385.0	172.0	No
scaffold_23406	501	129370.5	4310.0	172.0	No
scaffold_23123	506	126020.2	4199.0	172.0	No
scaffold_21577	532	122161.0	4070.0	172.0	No
scaffold_19766	566	116854.6	3893.0	172.0	No
scaffold_19556	571	115705.3	3855.0	172.0	No
scaffold_22390	518	115456.1	3847.0	172.0	No
scaffold_22798	511	110400.0	3678.0	172.0	No
scaffold_20384	554	108601.8	3618.0	172.0	No
scaffold_20800	546	100122.7	3336.0	172.0	No
scaffold_23112	507	94165.2	3137.0	172.0	No
scaffold_02413	2081	92876.6	3094.0	172.0	No
scaffold_20755	547	92055.6	3067.0	172.0	No
scaffold_08497	957	91462.9	3047.0	172.0	No
scaffold_15385	670	86255.3	2874.0	172.0	No
scaffold_21472	535	84567.9	2818.0	172.0	No
scaffold_03234	1735	81504.2	2715.0	172.0	No
scaffold_19622	569	74984.6	2498.0	172.0	No
scaffold_19002	582	74976.3	2498.0	172.0	No
scaffold_12965	744	74364.9	2478.0	172.0	No
scaffold_20830	546	70029.9	2333.0	172.0	No
scaffold_15737	660	68874.5	2295.0	172.0	No
scaffold_22078	523	68858.7	2294.0	172.0	No
scaffold_23459	499	68471.5	2281.0	172.0	No
scaffold_13658	721	67340.3	2244.0	172.0	No
scaffold_22642	514	66319.6	2210.0	172.0	No
scaffold_16762	632	63728.9	2123.0	172.0	No
scaffold_16394	642	63129.9	2103.0	172.0	No
scaffold_21671	531	63021.2	2100.0	172.0	No
scaffold_15553	665	62670.2	2088.0	172.0	No
scaffold_19953	562	59182.7	1972.0	172.0	No
scaffold_10987	821	59098.2	1969.0	172.0	No
scaffold_07142	1060	56866.0	1895.0	172.0	No
scaffold_19951	562	56363.7	1878.0	172.0	No
scaffold_07638	1018	56348.7	1877.0	172.0	No
scaffold_20857	545	55784.2	1859.0	172.0	No
scaffold_19302	576	53981.8	1798.0	172.0	No
scaffold_13840	715	52316.6	1743.0	172.0	No
scaffold_21200	540	51999.0	1732.0	172.0	No
scaffold_05338	1253	51654.2	1721.0	172.0	No
scaffold_23463	499	51251.3	1708.0	172.0	No
scaffold_07131	1061	50868.9	1695.0	172.0	No
scaffold_06781	1093	49645.0	1654.0	172.0	No
scaffold_16520	638	48752.9	1624.0	172.0	No
scaffold_14531	693	47254.2	1574.0	172.0	No
scaffold_18049	601	47149.2	1571.0	172.0	No
scaffold_09283	907	46426.0	1547.0	172.0	No
scaffold_12305	770	46149.2	1538.0	172.0	No
scaffold_18322	597	45974.5	1532.0	172.0	No
scaffold_23224	504	45606.5	1519.0	172.0	No
scaffold_14438	696	45314.2	1510.0	172.0	No
scaffold_09571	892	45244.3	1507.0	172.0	No
scaffold_12277	772	44336.0	1477.0	172.0	No
scaffold_20822	546	43241.6	1441.0	172.0	No
scaffold_22199	521	42276.0	1408.0	172.0	No
scaffold_23380	502	42178.8	1405.0	172.0	No
scaffold_20537	551	42096.0	1402.0	172.0	No
scaffold_13419	729	40708.2	1356.0	172.0	No
scaffold_21560	533	40436.3	1347.0	172.0	No
scaffold_10329	852	40376.9	1345.0	172.0	No
scaffold_12984	744	39847.2	1328.0	172.0	No
scaffold_19021	582	39437.8	1314.0	172.0	No
scaffold_23382	502	38257.3	1275.0	172.0	No
scaffold_21083	541	38076.7	1269.0	172.0	No
scaffold_23086	507	37971.9	1265.0	172.0	No
scaffold_15843	657	37761.9	1258.0	172.0	No
scaffold_18585	591	37101.1	1236.0	172.0	No
scaffold_05222	1273	36905.8	1230.0	172.0	No
scaffold_20896	545	36868.1	1228.0	172.0	No
scaffold_14273	701	36515.6	1217.0	172.0	No
scaffold_13272	734	36484.4	1216.0	172.0	No
scaffold_17216	621	35980.2	1199.0	172.0	No
scaffold_21079	542	34462.1	1148.0	172.0	No
scaffold_09493	895	33465.8	1115.0	172.0	No
scaffold_12262	772	31119.3	1037.0	172.0	No
scaffold_22256	520	30965.5	1032.0	172.0	No
scaffold_11487	801	30944.4	1031.0	172.0	No
scaffold_22115	523	30232.0	1007.0	172.0	No
scaffold_19114	580	29534.1	984.0	172.0	No
scaffold_16283	646	29211.7	973.0	172.0	No
scaffold_20561	550	29210.9	973.0	172.0	No
scaffold_19769	566	29104.2	970.0	172.0	No
scaffold_11552	800	28845.0	961.0	172.0	No
scaffold_12312	770	28668.5	955.0	172.0	No
scaffold_18022	602	28596.3	953.0	172.0	No
scaffold_12349	769	28507.2	950.0	172.0	No
scaffold_15589	664	28380.4	946.0	172.0	No
scaffold_16196	648	28161.2	938.0	172.0	No
scaffold_17120	623	27916.3	930.0	172.0	No
scaffold_12298	771	27821.5	927.0	172.0	No
scaffold_20470	552	27770.5	925.0	172.0	No
scaffold_15019	679	27757.4	925.0	172.0	No
scaffold_13817	716	27285.1	909.0	172.0	No
scaffold_14371	698	27003.5	900.0	172.0	No
scaffold_13534	726	26849.0	895.0	172.0	No
scaffold_19039	581	26307.2	876.0	172.0	No
scaffold_12301	771	26199.5	873.0	172.0	No
scaffold_19670	568	25687.9	856.0	172.0	No
scaffold_22614	514	25309.7	843.0	172.0	No
scaffold_22701	513	25237.0	841.0	172.0	No
scaffold_23397	501	25055.1	835.0	172.0	No
scaffold_09442	898	24137.8	804.0	172.0	No
scaffold_17919	603	24063.4	802.0	172.0	No
scaffold_22580	515	24048.6	801.0	172.0	No
scaffold_00565	6045	24039.6	801.0	172.0	No
scaffold_11369	805	23765.4	792.0	172.0	No
scaffold_16109	650	23639.8	788.0	172.0	No
scaffold_15612	664	23430.9	781.0	172.0	No
scaffold_22870	510	23343.1	778.0	172.0	No
scaffold_15624	663	23220.9	774.0	172.0	No
scaffold_14910	682	22670.7	755.0	172.0	No
scaffold_18432	595	21900.4	730.0	172.0	No
scaffold_09116	917	21639.5	721.0	172.0	No
scaffold_15795	658	21410.0	713.0	172.0	No
scaffold_22058	524	20861.2	695.0	172.0	No
scaffold_12118	778	20476.6	682.0	172.0	No
scaffold_05458	1235	20041.1	668.0	172.0	No
scaffold_22192	521	19904.4	663.0	172.0	No
scaffold_08908	929	19822.0	660.0	172.0	No
scaffold_20877	545	19788.3	659.0	172.0	No
scaffold_18509	593	18626.2	621.0	172.0	No
scaffold_22264	520	17956.3	598.0	172.0	No
scaffold_09024	923	17849.0	595.0	172.0	No
scaffold_12347	769	17568.3	585.0	172.0	No
scaffold_11375	804	17479.7	582.0	172.0	No
scaffold_11131	815	16807.2	560.0	172.0	No
scaffold_06187	1152	16593.2	553.0	172.0	No
scaffold_12995	743	16245.1	541.0	172.0	No
scaffold_08810	935	16196.2	540.0	172.0	No
scaffold_15294	672	15975.3	532.0	172.0	No
scaffold_20820	546	15918.7	530.0	172.0	No
scaffold_19025	582	15463.5	515.0	172.0	No
scaffold_22839	511	14681.8	489.0	172.0	No
scaffold_16233	647	14474.9	482.0	172.0	No
scaffold_18410	595	14327.1	477.0	172.0	No
scaffold_10641	836	13782.9	459.0	172.0	No
scaffold_15049	679	13553.7	452.0	172.0	No
scaffold_03128	1769	13458.7	448.0	172.0	No
scaffold_19821	565	12473.6	416.0	172.0	No
scaffold_21390	536	12381.9	413.0	172.0	No
scaffold_17971	603	12155.7	405.0	172.0	No
scaffold_21458	535	11907.9	397.0	172.0	No
scaffold_21066	542	11492.2	383.0	172.0	No
scaffold_21659	531	10802.3	360.0	172.0	No
scaffold_14972	681	10444.7	348.0	172.0	No
scaffold_23447	500	10190.0	339.0	172.0	No
